cluster,field,academic_rank
17.0,เทคนิคการแพทย์,38
17.0,เวชบำบัดวิกฤต,1
17.0,เวชพันธุศาสตร์,2
17.0,เวชศาสตรืป้องกัน,1
17.0,เวชศาสตร์การธนาคารเลือด,1
17.0,เวชศาสตร์ครอบครัว,1
17.0,เวชศาสตร์ชันสูตร,1
17.0,เวชศาสตร์ทั่วไป,1
17.0,เวชศาสตร์ฟื้นฟู,12
17.0,โปรโตซัวทางการแพทย์,1
17.0,โภชนศาสตร์คลินิก,1
18.0,materials Processing,1
18.0,การออกแบบ,3
18.0,การออกแบบภายใน,2
18.0,การออกแบบเครื่องปั้นดินเผา,1
18.0,จิตรกรรม,10
18.0,จิตรกรรมไทย,1
18.0,ทัศนศิลป์และเซรามิกส์,1
18.0,ประติมากรรม,7
18.0,ผ้าและเครื่องแต่งกาย,1
18.0,วนผลิตภัณฑ์,3
18.0,ศิลปะและการออกแบบเครื่องปั้นดินเผา,1
18.0,หัตถกรรม,3
18.0,ออกแบบตกแต่งภายใน,1
18.0,ออกแบบนิเทศศิลป์,2
18.0,ออกแบบผลิตภัณฑ์,1
18.0,อัญมณีและเครื่องประดับ,1
18.0,เครื่องเคลือบดินเผา,1
18.0,เซรามิกส์,1
19.0,Chemical Engineering,1
19.0,Engineering Geology,1
19.0,ครุศาสตร์วิศวกรรม,5
19.0,พลังงานและวิศวกรรมเครื่องกล,1
19.0,วิศวกรรม ไฟฟ้า,5
19.0,วิศวกรรมกระบวนการชีวภาพ,1
19.0,วิศวกรรมการบริหารจัดการอุตสาหกรรม,1
19.0,วิศวกรรมการผลิต,6
19.0,วิศวกรรมการวัดคุม,3
19.0,วิศวกรรมการอาหาร,3
19.0,วิศวกรรมการเชื่อม,3
19.0,วิศวกรรมขนส่ง,2
19.0,วิศวกรรมคอมพิวเตอร์,54
19.0,วิศวกรรมธรณี,1
19.0,วิศวกรรมนิวเคลียร์,1
19.0,วิศวกรรมปิโตรเลียม,1
19.0,วิศวกรรมพลังงาน,1
19.0,วิศวกรรมระบบควบคุม,2
19.0,วิศวกรรมวัสดุ,8
19.0,วิศวกรรมศาสตร์,8
19.0,วิศวกรรมศาสตร์อุตสาหการ,1
19.0,วิศวกรรมศาสตร์เครื่องกล,2
19.0,วิศวกรรมสำรวจ,8
19.0,วิศวกรรมสิ่งทอ,2
19.0,วิศวกรรมสิ่งเเวดล้อม,6
19.0,วิศวกรรมสิ่งแวดล้อม,24
19.0,วิศวกรรมสื่งแวดล้อม,1
19.0,วิศวกรรมสุขาภิบาล,4
19.0,วิศวกรรมอาหาร,5
19.0,วิศวกรรมอุตสาหกรรม,1
19.0,วิศวกรรมอุตสาหการ,69
19.0,วิศวกรรมอุตสาหการ (โลจิสติกส์),1
19.0,วิศวกรรมเครื่อกล,1
19.0,วิศวกรรมเครื่องกล,114
19.0,"วิศวกรรมเครื่องกล (วิธิเชิงตัวเลข,การถ่ายเทความร้อน,การอนุรักษ์พลังงาน)",1
19.0,วิศวกรรมเครื่องกลและระบบการผลิต,1
19.0,วิศวกรรมเครื่องจักรกลเกษตร,3
19.0,วิศวกรรมเซรามิกส์,1
19.0,วิศวกรรมเทคนิคธรณี,1
19.0,วิศวกรรมเหมืองแร่,3
19.0,วิศวกรรมเหมืองแร่และปิโตรเลียม,4
19.0,วิศวกรรมแปรรูปอาหาร,1
19.0,วิศวกรรมโครงสร้าง,2
19.0,วิศวกรรมโยธา,105
19.0,วิศวกรรมโยธา(วิศกรรมปฐพี),1
19.0,วิศวกรรมโยธา(วิศวกรรมปฐพี/ธรณีเทคนิค),1
19.0,วิศวกรรมโยธาสิ่งแวดล้อม,1
19.0,วิศวกรรมโลหการ,8
19.0,วิศวกรรมไฟฟ้า,140
19.0,วิศวกรรมไฟฟ้ากำลัง,2
19.0,วิศวกรรไฟฟ้า,2
19.0,สาขาวิชาวิศวกรรมเครื่องกล,1
19.0,สาขาวิชาวิศวกรรมไฟฟ้า,3
20.0,พิษวิทยาทางสัตวแพทย์,1
20.0,สรีรวิทยาทางสัตวแพทย์,1
20.0,สัตวบาล,22
20.0,สัตวศาสตร์,43
20.0,สัตวแพทยศาสตร์,4
20.0,สัตวแพทยสาธารณสุข,5
20.0,สัตวแพทยสาธารณสุขศาสตร์และการบริการวินิจ,1
20.0,สาขาวิชาสัตวศาสตร์,1
20.0,สุขภาพสัตว์,1
20.0,เวชศาสตร์คลินิกสัตว์เลี้ยง,3
20.0,เวชศาสตร์คลินิกสัตว์ใหญ่และสัตว์ป่า,3
20.0,โภชนศาสตร์สัตว์,1
21.0,การบริหารการพยาบาล,2
21.0,การพยาบาล,58
21.0,การพยาบาลกุมารเวชศาสตร์,6
21.0,การพยาบาลจิตเวชศาสตร์,1
21.0,การพยาบาลผู้ใหญ่,1
21.0,การพยาบาลมารดาทารกและการผดุงครรภ์,1
21.0,การพยาบาลรากฐาน,1
21.0,การพยาบาลศัลยศาสตร์,3
21.0,การพยาบาลศาสตร์,1
21.0,การพยาบาลสาธารณสุข,12
21.0,การพยาบาลอายุรศาสตร์,1
21.0,การพยาบาลแม่และเด็ก,1
21.0,พยาบาล,2
21.0,พยาบาลรากฐาน,2
21.0,พยาบาลศาสตจร์,1
21.0,พยาบาลศาสตร์,105
21.0,พยาบาลแม่และเด็ก,1
21.0,สาขาวิชาพยาบาลศาสตร์,2
22.0,กายภาพบำบัด,19
22.0,กายภาพบําบัด,1
22.0,กายวิภาคศาสตร์,57
22.0,กิจกรรมบำบัด,5
22.0,ประสาทศัลยศาสตร์,6
22.0,ศัลยศาตร์ทั่วไป,1
22.0,ศัลยศาสตร์,68
22.0,ศัลยศาสตร์ (กุมารศัลยศาสตร์),1
